Title,Author,Journal,Abstract,Year,DOI,Publication Type
"5-HT2 receptor binding, functional activity and selectivity in N-benzyltryptamines","M, Toro-Sazo",,,2019,10.1371/journal.pone.0209804,
Effects of dopamine antagonists on methamphetamine-induced dopamine release in high and low alcohol preference rats,"M, Nishiguchi",,,2010,10.3109/15376511003621658,
Modulation of the antidepressant-like effects of sustained administration of carisbamate and lamotrigine on monoaminergic systems: electrophysiological studies in the rat brain,"S, Shim",,,2013,10.1124/jpet.113.203315,
"Serotonin, social status and sex change in the bluebanded goby Lythrypnus dalli","V, Lorenzi",,,2009,10.1016/j.physbeh.2009.03.026,
Selective blockade of neurokinin-2 receptors produces antidepressant-like effects associated with reduced corticotropin-releasing factor function,"R, Steinberg",,,2001,,
Extra-hypothalamic dopamine is not involved in the effects of hyperprolactinemia on male copulatory behavior,"PC, Doherty",,,1989,10.1016/0031-9384(89)90094-2,
Oral administration of glycine increases extracellular serotonin but not dopamine in the prefrontal cortex of rats,"M, Bannai",,,2011,10.1111/j.1440-1819.2010.02181.x,
Serotonin signaling is associated with lower amyloid-β levels and plaques in transgenic mice and humans,"JR, Cirrito",,,2011,10.1073/pnas.1107411108,
Synthesis and antidepressant activity of arylalkanol-piperidine derivatives as triple reuptake inhibitors,"YY, Zheng",,,2012,10.1016/j.ejmech.2012.04.030,
Beneficial effects of an algal oil rich in ω-3 polyunsaturated fatty acids on locomotor function and D(2) dopamine receptor in haloperidol-induced parkinsonism,"A, Barroso-Hernández",,,2022,10.1080/1028415x.2020.1764293,
"Stereoselective blockade of central [3H]5-hydroxytryptamine binding to multiple sites (5-HT1A, 5-HT1B and 5-HT1C) by mianserin and propranolol","BS, Alexander",,,1987,10.1111/j.2042-7158.1987.tb03452.x,
Animal models and treatments for addiction and depression co-morbidity,"NE, Paterson",,,2007,10.1007/bf03033479,
A novel positive allosteric modulator of the alpha7 neuronal nicotinic acetylcholine receptor: in vitro and in vivo characterization,"RS, Hurst",,,2005,10.1523/jneurosci.5269-04.2005,
Darkness-induced changes in noradrenergic input determine the 24 hour variation in beta-adrenergic receptor density in the rat pineal gland: in vivo physiological and pharmacological evidence,"A, Gonzalez-Brito",,,1988,10.1016/0024-3205(88)90142-7,
Improvement Effects of Myelophil on Symptoms of Chronic Fatigue Syndrome in a Reserpine-Induced Mouse Model,"JH, Song",,,2021,10.3390/ijms221910199,
Opioid involvement in the adaptive change of 5-HT1 receptors induced by chronic restraint,"L, Cancela",,,1990,10.1016/0014-2999(90)90025-2,
[The central dopaminergic system and depression],"D, Ebert",,,1997,10.1007/s001150050159,
Ketamine-induced hyperlocomotion associated with alteration of presynaptic components of dopamine neurons in the nucleus accumbens of mice,"M, Irifune",,,1991,10.1016/0091-3057(91)90571-i,
GPR37 associates with the dopamine transporter to modulate dopamine uptake and behavioral responses to dopaminergic drugs,"D, Marazziti",,,2007,10.1073/pnas.0703368104,
Region-Specific Regulation of Presynaptic Dopamine Homeostasis by D(2) Autoreceptors Shapes the In Vivo Impact of the Neuropsychiatric Disease-Associated DAT Variant Val559,"R, Gowrishankar",,,2018,10.1523/jneurosci.0055-18.2018,
Differential local field potential oscillations in the dorsal striatum and locomotor activity induced by morphine and haloperidol in mice,"C, Reakkamnuan",,,2023,10.55782/ane-2023-013,
Striatal N-Acetylaspartate Synthetase Shati/Nat8l Regulates Depression-Like Behaviors via mGluR3-Mediated Serotonergic Suppression in Mice,"Y, Miyamoto",,,2017,10.1093/ijnp/pyx078,
The 5-HT2A receptor antagonist M100907 is more effective in counteracting NMDA antagonist- than dopamine agonist-induced hyperactivity in mice,"ML, Carlsson",,,1999,10.1007/s007020050144,
Lack of effect of raphe lesions on serotonin S2 receptor changes induced by amitriptyline and desmethylimipramine,"A, Dumbrille-Ross",,,1982,10.1016/0165-1781(92)90087-j,
Combining robotics with enhanced serotonin-driven cortical plasticity improves post-stroke motor recovery,"S, Conti",,,2021,10.1016/j.pneurobio.2021.102073,
"Loss of erbB signaling in oligodendrocytes alters myelin and dopaminergic function, a potential mechanism for neuropsychiatric disorders","K, Roy",,,2007,10.1073/pnas.0702157104,
Selective knockout of the casein kinase 2 in d1 medium spiny neurons controls dopaminergic function,"H, Rebholz",,,2013,10.1016/j.biopsych.2012.11.013,
Behavioural evidence for supersensitivity of postsynaptic dopamine receptors in the mesolimbic system after chronic administration of desipramine,"C, Spyraki",,,1981,10.1016/0014-2999(81)90531-8,
Venlafaxine: a novel antidepressant that has a dual mechanism of action,"JM, Andrews",,,1996,10.1002/(sici)1522-7162(1996)4:2<48::aid-depr2>3.0.co;2-b,
Differential expression of serotonin(2B) receptors in GABAergic and serotoninergic neurons of the rat and mouse dorsal raphe nucleus,"A, Cathala",,,2022,10.1016/j.mcn.2022.103750,
Characterization of cannabinoid modulation of sensory neurotransmission in the rat isolated mesenteric arterial bed,"M, Duncan",,,2004,10.1124/jpet.104.067587,
U-95666E: a potential anti-parkinsonian drug with anxiolytic activity,"VH, Sethy",,,1997,10.1016/s0278-5846(97)00086-9,
Glucocorticoid receptor deletion from locus coeruleus norepinephrine neurons promotes depression-like social withdrawal in female but not male mice,"L, Jacobson",,,2019,10.1016/j.brainres.2018.12.026,
Platelet alpha 2 adrenoreceptors are decreased in number after antidepressant therapy,"CB, Smith",,,1983,10.1016/0278-5846(83)90114-8,
Serotonin-norepinephrine receptor interactions in the brain: implications for the pharmacology and pathophysiology of affective disorders,"F, Sulser",,,1987,,
Role of the 5-HT2C receptor in improving weight-supported stepping in adult rats spinalized as neonates,"T, Kao",,,2006,10.1016/j.brainres.2006.07.020,
Serotonin and Antidepressant SSRIs Inhibit Rat Neuroendocrine Dopamine Neurons: Parallel Actions in the Lactotrophic Axis,"DJ, Lyons",,,2016,10.1523/jneurosci.4061-15.2016,
Glutamate-dopamine interactions in the basal ganglia: relationship to Parkinson's disease,"JT, Greenamyre",,,1993,10.1007/bf01245235,
"Continuous release of diazepam: electrophysiological, biochemical and behavioral consequences","DW, Gallager",,,1985,10.1016/0006-8993(85)91349-6,
Cocaine and phencyclidine. Heterogenous dopaminergic interactions with tetrabenazine,"SP, Bagchi",,,1985,10.1016/0028-3908(85)90093-0,
Adult AMPA GLUA1 receptor subunit loss in 5-HT neurons results in a specific anxiety-phenotype with evidence for dysregulation of 5-HT neuronal activity,"T, Weber",,,2015,10.1038/npp.2014.332,
Correlated alterations in serotonergic and dopaminergic modulations at the hippocampal mossy fiber synapse in mice lacking dysbindin,"K, Kobayashi",,,2011,10.1371/journal.pone.0018113,
Neuregulin and dopamine modulation of hippocampal gamma oscillations is dependent on dopamine D4 receptors,"RH, Andersson",,,2012,10.1073/pnas.1201011109,
Evidence that 5-HT2 receptor activation decreases noradrenaline release in rat hippocampus in vivo,"CJ, Done",,,1992,10.1111/j.1476-5381.1992.tb14493.x,
Retrograde axonal transport of beta-adrenoreceptors in rat brain: effect of reserpine,"BE, Levin",,,1984,10.1016/0006-8993(84)91344-1,
Dopamine denervation does not alter in vivo 3H-spiperone binding in rat striatum: implications for external imaging of dopamine receptors in Parkinson's disease,"JP Jr, Bennett",,,1986,10.1002/ana.410190412,
The fast-off hypothesis revisited: A functional kinetic study of antipsychotic antagonism of the dopamine D2 receptor,"K, Sahlholm",,,2016,10.1016/j.euroneuro.2016.01.001,
Receptor Reserve Moderates Mesolimbic Responses to Opioids in a Humanized Mouse Model of the OPRM1 A118G Polymorphism,"JE, Robinson",,,2015,10.1038/npp.2015.109,
"Modern views on an ancient chemical: serotonin effects on cell proliferation, maturation, and apoptosis","EC, Azmitia",,,2001,10.1016/s0361-9230(01)00614-1,
Intestinal serotonin and fluoxetine exposure modulate bacterial colonization in the gut,"TC, Fung",,,2019,10.1038/s41564-019-0540-4,
Receptor mechanisms of nicotine-induced locomotor hyperactivity in chronic nicotine-treated rats,"YK, Fung",,,1988,10.1016/0014-2999(88)90721-2,
Effects of noradrenergic and serotonergic systems on risk-based decision-making and center arena activity in open field in rats,"R, Cui",,,2018,10.1016/j.ejphar.2018.09.026,
Role of the strychnine-insensitive glycine binding site in the nucleus accumbens and anterodorsal striatum in sensorimotor gating: a behavioral and microdialysis study,"BD, Kretschmer",,,1997,10.1007/s002130050220,
"Developmental, neurochemical, and behavioral analyses of ErbB4 Cyt-1 knockout mice","L, Erben",,,2022,10.1111/jnc.15612,
NQO1 regulates pharmaco-behavioral effects of d-amphetamine in striatal dopaminergic system in mice,"J, Go",,,2020,10.1016/j.neuropharm.2020.108039,
Long-term effects of young-adult methamphetamine on dorsal raphe serotonin systems in mice: Role of brain-derived neurotrophic factor,"M, Sepulveda",,,2021,10.1016/j.brainres.2021.147428,
Stimulation of glutamate receptors in the ventral tegmental area is necessary for serotonin-2 receptor-induced increases in mesocortical dopamine release,"EA, Pehek",,,2015,10.1016/j.neuroscience.2015.01.029,
"Pathophysiology and management of Akathisia 70 years after the introduction of the chlorpromazine, the first antipsychotic","N, Zareifopoulos",,,2021,10.26355/eurrev_202101_26386,
Excitatory amino acid receptor antagonists decrease hypoxia induced increase in extracellular dopamine in striatum of newborn piglets,"MF, Kuo",,,1998,10.1016/s0197-0186(97)00091-0,
Chronic activation of the D2 autoreceptor inhibits both glutamate and dopamine synapse formation and alters the intrinsic properties of mesencephalic dopamine neurons in vitro,"C, Fasano",,,2010,10.1111/j.1460-9568.2010.07397.x,
"Biaryls as potent, tunable dual neurokinin 1 receptor antagonists and serotonin transporter inhibitors","AP, Degnan",,,2015,10.1016/j.bmcl.2015.04.098,
Suppression of pentylenetetrazol-induced seizures by hydralazine associated with 5-hydroxytryptaminergic system in rat brain,"S, Hara",,,1987,10.1254/jjp.43.361,
Dopamine enhances the excitability of somatosensory thalamocortical neurons,"G, Govindaiah",,,2010,10.1016/j.neuroscience.2010.08.043,
Modification of the vasomotor actions of methysergide in the femoral arterial bed of the anaesthetized dog by changes in sympathetic nerve activity,"W, Feniuk",,,1981,10.1111/j.1474-8673.1981.tb00504.x,
Usefulness of olanzapine as an adjunct to opioid treatment and for the treatment of neuropathic pain,"K, Torigoe",,,2012,10.1097/aln.0b013e31823c7e56,
"Effects of ACTH, benzodiazepines and 5-HT antagonists on escape from periaqueductal grey stimulation in the rat","A, Clarke",,,1982,10.1016/s0364-7722(82)80104-5,
Striatal serotonin depletion facilitates rat egocentric learning via dopamine modulation,"PB, Anguiano-Rodríguez",,,2007,10.1016/j.ejphar.2006.10.042,
"Pharmacological and pharmacokinetic properties of a structurally novel, potent, and selective metabotropic glutamate 2/3 receptor agonist: in vitro characterization of agonist (-)-(1R,4S,5S,6S)-4-amino-2-sulfonylbicyclo[3.1.0]-hexane-4,6-dicarboxylic acid (LY404039)","LM, Rorick-Kehn",,,2007,10.1124/jpet.106.110809,
Valproic acid silencing of ascl1b/Ascl1 results in the failure of serotonergic differentiation in a zebrafish model of fetal valproate syndrome,"J, Jacob",,,2014,10.1242/dmm.013219,
Effects of clonidine on the calcium content and morphology of rat salivary glands,"JH, Yu",,,1992,10.1016/0003-9969(92)90039-b,
Preclinical pharmacology of milnacipran,"M, Briley",,,1996,10.1097/00004850-199609004-00002,
Effects of malnutrition and quipazine on rat cerebral cortex ATPase activity during development,"RJ, Hernández",,,1980,10.1159/000112399,
Chronic interferon-α decreases dopamine 2 receptor binding and striatal dopamine release in association with anhedonia-like behavior in nonhuman primates,"JC, Felger",,,2013,10.1038/npp.2013.115,
A pharmacological analysis of the peristaltic reflex in the isolated colon of the guinea-pig or cat,"A, Crema",,,1970,10.1111/j.1476-5381.1970.tb12897.x,
Drug Targets for Obesity and Depression: From Serotonin to Leptin,"DJ, Haleem",,,2016,10.2174/1389450117666151209123049,
Neonatal dopamine lesion in the rat results in enhanced adenylate cyclase activity without altering dopamine receptor binding or dopamine- and adenosine 3':5'-monophosphate-regulated phosphoprotein (DARPP-32) immunoreactivity,"J, Luthman",,,1990,10.1007/bf00232196,
Dopaminergic alterations in cotreatments attenuating haloperidol-induced hypersensitivity,"PM, Carvey",,,1990,10.1016/0091-3057(90)90158-e,
M4 muscarinic receptors regulate the dynamics of cholinergic and dopaminergic neurotransmission: relevance to the pathophysiology and treatment of related CNS pathologies,"ET, Tzavara",,,2004,10.1096/fj.04-1575fje,
The role of dopamine in the accumbens core in the expression of Pavlovian-conditioned responses,"BT, Saunders",,,2012,10.1111/j.1460-9568.2012.08217.x,
Site-specific activation of dopamine and serotonin transmission by aniracetam in the mesocorticolimbic pathway of rats,"K, Nakamura",,,2001,10.1016/s0006-8993(01)02096-0,
Studies on membrane receptor sites for serotonin in the brain,"F, Ungar",,,1977,,
"Effects of a Novel Psychomotor Stabilizer, IRL790, on Biochemical Measures of Synaptic Markers and Neurotransmission","K, Becanovic",,,2020,10.1124/jpet.119.264754,
Rat climbing behavior elicited by stimulation of cerebral dopamine receptors,"P, Protais",,,1984,10.1007/bf00506188,
Dual effect of serotonin on growth of bovine pulmonary artery smooth muscle cells in culture,"SL, Lee",,,1991,10.1161/01.res.68.5.1362,
Testing the contributions of striatal dopamine loss to the genesis of parkinsonian signs,"V, Franco",,,2012,10.1016/j.nbd.2012.03.028,
A comparison between dopamine-stimulated adenylate cyclase and 3H-SCH 23390 binding in rat striatum,"PH, Andersen",,,1985,10.1016/0024-3205(85)90028-1,
The rapid recovery of 5-HT cell firing induced by the antidepressant vortioxetine involves 5-HT(3) receptor antagonism,"C, Bétry",,,2013,10.1017/s1461145712001058,
Analysis of the respiratory effects of cannabinoids in rats,"K, Schmid",,,2003,10.1007/s00210-003-0787-3,
